#{"t_start": 1781113351.5034025, "env_id": "None"}
r,l,t
245.754163,82,108.194857
134.446695,57,108.400918
90.808125,47,108.56708
82.387792,46,108.735391
114.619116,52,108.921993
219.842286,77,109.197991
130.789193,55,109.392819
107.805218,51,109.580999
115.08728,51,109.763686
146.849861,59,109.972443
99.443775,48,110.144385
100.923565,50,110.324589
165.166046,64,110.54893
110.48733,51,110.731371
175.703813,66,110.972463
111.264982,51,111.15286
158.10238,61,111.371078
108.258926,51,111.552344
128.098376,55,111.751083
126.523113,54,111.94434
112.323002,52,112.129459
178.962564,66,112.358489
138.220853,56,112.55607
134.130213,57,112.76457
137.165224,56,112.963748
177.327857,68,113.207216
173.564603,65,113.795243
131.049504,56,114.025318
104.470996,49,114.204436
134.60139,57,114.415064
106.315025,51,114.599046
117.905087,53,114.7937
200.012849,71,115.048836
118.44196,54,115.239584
128.215081,54,115.428214
179.861629,66,115.667489
121.382772,53,115.855957
88.246441,45,116.016959
111.348222,52,116.205467
120.107484,54,116.393049
120.102142,53,116.581352
199.059958,72,116.841121
132.587722,57,117.043617
131.175377,55,117.239977
225.50374,78,117.513421
128.210479,55,117.709951
125.262656,55,117.913283
89.330525,46,118.078272
135.443094,57,118.277128
105.690585,50,118.453979
135.833138,58,118.663984
134.912866,58,118.879061
162.359248,64,119.110336
202.834781,72,119.364811
151.720317,61,119.583415
95.647895,47,119.755661
102.547036,49,119.929308
193.123489,71,120.181498
120.224354,54,120.37469
127.447578,55,120.568341
124.979547,54,120.763182
146.486465,59,120.975421
115.625707,52,121.597619
131.993386,55,121.828429
157.147325,62,122.058343
132.499224,57,122.266834
90.16822,46,122.437744
106.2525,49,122.608665
154.900642,61,122.826988
129.773209,56,123.058376
101.926352,50,123.242483
96.875071,48,123.420276
164.966248,63,123.648954
284.365565,91,123.978832
85.804445,45,124.1412
115.570908,52,124.323995
258.189914,86,124.634257
135.989308,58,124.844788
180.181106,66,125.081355
217.37231,77,125.354372
147.650078,60,125.566411
189.697669,68,125.815465
123.763979,55,126.013242
112.04767,51,126.197923
158.782835,62,126.419552
114.341468,51,126.600745
114.007767,53,126.787101
78.471301,44,126.949691
135.487012,56,127.152344
132.794191,56,127.347443
108.644504,51,127.528381
134.556033,57,127.732569
112.763229,51,127.92352
160.94046,64,128.151169
157.567346,62,128.37042
116.710909,53,128.561783
112.682609,53,128.745974
122.929171,54,129.310314
99.79049,48,129.549444
149.819016,60,129.775041
126.676892,54,129.977982
